close,high,low,open,volume,date,symbol,day_of_week,month,5_day_moving_avg,10_day_moving_avg,20_day_moving_avg,lag_1,lag_2,lag_3,lag_5,lag_7,lag_14
35.06,38.0,34.25,36.45,1.13095696E8,2007-06-22,BX,6,6,35.060001373291016,35.060001373291016,35.060001373291016,,,,,,
32.44,35.77,31.9,35.74,3.56686E7,2007-06-25,BX,2,6,33.75,33.75,33.75,35.06,,,,,
30.75,32.49,30.32,32.28,2.9614E7,2007-06-26,BX,3,6,32.75,32.75,32.75,32.44,35.06,,,,
29.92,30.75,29.13,30.4,1.80876E7,2007-06-27,BX,4,6,32.042500019073486,32.042500019073486,32.042500019073486,30.75,32.44,35.06,,,
29.69,30.98,29.54,29.61,8660300.0,2007-06-28,BX,5,6,31.572000122070314,31.572000122070314,31.572000122070314,29.92,30.75,32.44,,,
29.27,30.2,28.75,30.0,7559700.0,2007-06-29,BX,6,6,30.413999938964842,31.18833351135254,31.18833351135254,29.69,29.92,30.75,35.06,,
29.27,29.74,29.08,29.27,3175900.0,2007-07-02,BX,2,7,29.780000305175783,30.914285932268417,30.914285932268417,29.27,29.69,29.92,32.44,,
29.72,29.88,29.42,29.5,2763700.0,2007-07-03,BX,3,7,29.57400016784668,30.765000104904175,30.765000104904175,29.27,29.27,29.69,30.75,35.06,
30.63,30.97,30.2,30.95,6950900.0,2007-07-05,BX,5,7,29.71599998474121,30.75,30.75,29.72,29.27,29.27,29.92,32.44,
31.5,31.7,30.8,30.9,7652900.0,2007-07-06,BX,6,7,30.077999877929688,30.825,30.825,30.63,29.72,29.27,29.69,30.75,
31.48,31.99,31.39,31.9,4301400.0,2007-07-09,BX,2,7,30.519999694824218,30.466999816894532,30.884545412930574,31.5,30.63,29.72,29.27,29.92,
29.93,31.34,29.84,31.28,6388700.0,2007-07-10,BX,3,7,30.65199966430664,30.21599998474121,30.804999987284344,31.48,31.5,30.63,29.27,29.69,
29.18,30.08,28.96,29.94,5982800.0,2007-07-11,BX,4,7,30.543999862670898,30.05900001525879,30.68000001173753,29.93,31.48,31.5,29.72,29.27,
30.0,30.29,29.31,29.5,5144200.0,2007-07-12,BX,5,7,30.41800003051758,30.067000007629396,30.631428582327707,29.18,29.93,31.48,30.63,29.27,
29.85,30.0,29.28,29.88,3318400.0,2007-07-13,BX,6,7,30.088000106811524,30.082999992370606,30.579333368937174,30.0,29.18,29.93,31.5,29.72,35.06
29.69,29.98,29.33,29.85,3109000.0,2007-07-16,BX,2,7,29.730000305175782,30.125,30.523750066757202,29.85,30.0,29.18,31.48,30.63,32.44
29.21,29.85,29.11,29.69,2666800.0,2007-07-17,BX,3,7,29.586000061035158,30.118999862670897,30.446470597211054,29.69,29.85,30.0,29.93,31.5,30.75
28.4,29.1,28.0,29.0,5156100.0,2007-07-18,BX,4,7,29.429999923706056,29.986999893188475,30.33277776506212,29.21,29.69,29.85,29.18,31.48,29.92
27.33,28.5,27.0,28.4,9902100.0,2007-07-19,BX,5,7,28.895999908447266,29.65699996948242,30.17473682604338,28.4,29.21,29.69,30.0,29.93,29.69
25.95,27.11,25.63,27.0,9614600.0,2007-07-20,BX,6,7,28.11599998474121,29.102000045776368,29.963500022888184,27.33,28.4,29.21,29.85,29.18,29.27
26.37,26.9,25.51,25.83,6372700.0,2007-07-23,BX,2,7,27.452000045776366,28.591000175476076,29.528999996185302,25.95,27.33,28.4,29.69,30.0,29.27
25.71,26.45,25.6,25.91,5614800.0,2007-07-24,BX,3,7,26.752000045776366,28.16900005340576,29.192500019073485,26.37,25.95,27.33,29.21,29.85,29.72
25.51,26.05,25.25,25.76,4737600.0,2007-07-25,BX,4,7,26.17400016784668,27.802000045776367,28.930500030517578,25.71,26.37,25.95,28.4,29.69,30.63
25.7,25.95,23.27,25.18,1.11748E7,2007-07-26,BX,5,7,25.84800033569336,27.37200012207031,28.719500064849854,25.51,25.71,26.37,27.33,29.21,31.5
24.3,24.85,23.68,24.66,9253500.0,2007-07-27,BX,6,7,25.518000030517577,26.817000007629396,28.45,25.7,25.51,25.71,25.95,28.4,31.48
24.48,24.88,23.55,24.42,5226600.0,2007-07-30,BX,2,7,25.139999771118163,26.295999908447264,28.210499954223632,24.3,25.7,25.51,26.37,27.33,29.93
24.01,25.21,23.81,24.97,5088700.0,2007-07-31,BX,3,7,24.8,25.776000022888184,27.94749994277954,24.48,24.3,25.7,25.71,25.95,29.18
24.31,24.5,23.6,24.34,6489200.0,2007-08-01,BX,4,8,24.559999847412108,25.367000007629393,27.676999950408934,24.01,24.48,24.3,25.51,26.37,30.0
25.33,25.58,24.43,25.25,8273800.0,2007-08-02,BX,5,8,24.48599967956543,25.167000007629394,27.41199998855591,24.31,24.01,24.48,25.7,25.71,29.85
24.39,25.47,24.2,25.39,5322900.0,2007-08-03,BX,6,8,24.503999710083008,25.010999870300292,27.05649995803833,25.33,24.31,24.01,24.3,25.51,29.69
24.53,24.68,22.76,24.68,7314800.0,2007-08-06,BX,2,8,24.513999938964844,24.826999855041503,26.709000015258788,24.39,25.33,24.31,24.48,25.7,29.21
